donde_estas_trabajando,dedicacion,tipo_de_contrato,ultimo_salario_mensual_o_retiro_bruto_en_pesos_argentinos,ultimo_salario_mensual_o_retiro_neto_en_pesos_argentinos,pagos_en_dolares,si_tu_sueldo_esta_dolarizado_cual_fue_el_ultimo_valor_del_dolar_que_tomaron,recibis_algun_tipo_de_bono,a_que_esta_atado_el_bono,tuviste_actualizaciones_de_tus_ingresos_laborales_durante_el_ultimo_semestre,de_que_fue_el_ajuste_total_acumulado,en_que_mes_fue_el_ultimo_ajuste,como_consideras_que_estan_tus_ingresos_laborales_comparados_con_el_semestre_anterior,contas_con_beneficios_adicionales,que_tan_conforme_estas_con_tus_ingresos_laborales,estas_buscando_trabajo,pluriempleo,trabajo_de,anos_de_experiencia,antiguedad_en_la_empresa_actual,anos_en_el_puesto_actual,cuantas_personas_tenes_a_cargo,plataformas_que_utilizas_en_tu_puesto_actual,lenguajes_de_programacion_o_tecnologias_que_utilices_en_tu_puesto_actual,frameworksherramientas_y_librerias_que_utilices_en_tu_puesto_actual,bases_de_datos,qa_testing,cantidad_de_personas_en_tu_organizacion,modalidad_de_trabajo,si_trabajas_bajo_un_esquema_hibrido_cuantos_dias_a_la_semana_vas_a_la_oficina,en_los_ultimos_6_mesesse_aplico_alguna_politica_de_ajustes_salariales,en_los_ultimos_6_meseshubo_reduccion_de_personal,la_recomendas_como_un_buen_lugar_para_trabajar,que_tanto_estas_usando_copilotchatgpt_u_otras_herramientas_de_ia_para_tu_trabajo,vibe_coding,salir_o_seguir_contestando,maximo_nivel_de_estudios,estado,carrera,institucion_educativa,salir_o_seguir_contestando_sobre_las_guardias,cual_es_la_cantidad_maxima_de_entrevistas_que_consideras_aceptable_en_un_proceso_de_seleccion,cual_es_la_combinacion_de_entrevistas_que_consideras_mejor_en_tu_experiencia_como_candidatoa,desafios_tecnicoscomo_los_preferiselegi_todas_las_opciones_que_consideres,cuantas_horas_te_parecen_correctas_dedicarle_a_un_desafio_tecnico_asincronico,cual_de_las_siguientes_frases_representa_mejor_tu_opinion_acerca_de_los_procesos_de_seleccion,salir_o_seguir_contestando_sobre_las_guardias1,tenes_guardias,cuanto_cobras_por_guardia,aclara_el_numero_que_ingresaste_en_el_campo_anterior,tengo_edad,genero,habias_respondido_nuestra_encuesta_en_ediciones_anteriores,sueldo_dolarizado,seniority,_sal
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),4700000.0,3000000.0,Cobro parte del salario en dólares,Oficial,Un sueldo,Mix de las anteriores,Dos,10.0,Junio,1,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",1,"Sí, estoy buscando activamente.",,Architect,28,3,3,4,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Más de 10000 personas,Híbrido (presencial y remoto),1,Si,No sé,1,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,52,Hombre Cis,Sí,True,Senior,4700000.0
Buenos Aires,Full-Time,Contractor,717000.0,712000.0,Cobro todo el salario en dólares,1Usd=1174Ars,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, trabajo remoto",3,"Sí, estoy buscando activamente.",,DBA (Database Administrator),3,0,0,0,"Google Cloud Platform, Windows Server",Ninguno de los anteriores,Ninguno de los anteriores,Veeva Network,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,"no, acabo de empezar y tengo una tarifa por hora fija",Sí,7,2,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,33,Mujer Cis,No,True,Semi-Senior,717000.0
Córdoba,Full-Time,Contractor,6400000.0,6400000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles",3,"No, pero escucho ofertas.",,Developer,7,3,3,0,"Amazon Web Services, Kubernetes","Javascript, TypeScript","Node.js, React.js",Amazon DynamoDB,Jest,De 501 a 1000 personas,100% remoto,0,,No,7,3,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,29,Hombre Cis,Sí,True,Senior,6400000.0
Buenos Aires,Full-Time,Staff (planta permanente),1700000.0,,Cobro parte del salario en dólares,1160,No,No recibo bono,Uno,8.0,Enero,1,"Abono de Internet, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida",2,"No, pero escucho ofertas.",,UX Designer,4,3,3,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,Se paso de tener 4 ajustes por inflación a tener 2,Sí,7,1,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,33,Hombre Cis,No,True,Semi-Senior,1700000.0
Buenos Aires,Full-Time,Contractor,5890000.0,,Cobro todo el salario en dólares,1155,No,No recibo bono,No,0.0,No tuve,2,"Abono de celular, Abono de Internet, Horarios flexibles",2,"Sí, estoy buscando activamente.",,Sales / Pre-Sales,13,5,5,0,Routers,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,no,No,0,4,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,40,Hombre Cis,Sí,True,Senior,5890000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,3200000.0,3150000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1180,No,No recibo bono,Dos,100.0,Mayo,3,"Capacitaciones y/o cursos, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",4,"No, pero escucho ofertas.",,Developer,3,1,3,0,"Azure, Docker, Google Cloud Platform, Serverless",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Bootstrap, jQuery, Next.js, Node.js, React.js","Microsoft SQL Server, PostgreSQL","Jest, NUnit, Postman",De 11  a 50  personas,100% remoto,0,,No,9,2,Hype,Responder sobre entrevistas técnicas,Terciario,En curso,Tecnicatura Superior en Programación,ESBA - Escuela Superior Buenos Aires,Terminar encuesta,Entre 2 y 4,"Técnica - Coding, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Aunque me interese, no quiero invertir mucho tiempo en pruebas técnicas.",Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,34,Hombre Cis,Sí,True,Semi-Senior,3200000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3500000.0,3100000.0,Cobro parte del salario en dólares,1100,Un sueldo,Performance individual,Dos,9.0,Abril,2,"Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",2,"No, pero escucho ofertas.",,UX Designer,12,4,4,1,Azure,Ninguno de los anteriores,"Bootstrap, Ninguno de los anteriores",Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,100% remoto,0,,No sé,7,2,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,45,Mujer Cis,No,True,Senior,3500000.0
Mendoza,Full-Time,Staff (planta permanente),4200000.0,4000000.0,Cobro parte del salario en dólares,,No,Performance de la compañía,Dos,11.0,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado",4,"No, pero escucho ofertas.",,VP / C-Level,25,10,4,30,Odoo,"Python, SQL",Ninguno de los anteriores,"Microsoft SQL Server, PostgreSQL, SQLite",Postman,De 201 a 500 personas,Híbrido (presencial y remoto),4,Si dos ajustes de 7% y 4%,Sí,9,5,Vibequé?,Responder sobre guardias,Maestría,Completo,Ingeniería en Sistemas,UTN - Universidad Tecnológica Nacional,Responder sobre entrevistas técnicas,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,No,0.0,Neto,45,Hombre Cis,No,True,Senior,4200000.0
Santa Fe,Full-Time,Staff (planta permanente),7400000.0,6027000.0,Cobro parte del salario en dólares,1180,Menos de un sueldo,Mix de las anteriores,No,0.0,No tuve,2,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Lactario en la oficina, Guardería o pago para cubrir costo de guardería, Stock options / RSUs",1,"No, pero escucho ofertas.",,Manager / Director,19,9,7,100,Azure,"Javascript, Python, TypeScript",Node.js,Ninguna de las anteriores,"Cypress, Postman, playwright",Más de 10000 personas,Híbrido (presencial y remoto),2,No,Sí,5,5,Llegó para quedarse,Responder sobre entrevistas técnicas,,,,,,Entre 2 y 4,"HR, Técnica - Diseño & Arquitectura, Manager directo/a",Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a,Hasta 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Terminar encuesta,,,,43,Hombre Cis,Sí,True,Senior,7400000.0
Córdoba,Full-Time,Staff (planta permanente),3000000.0,3000000.0,Cobro parte del salario en dólares,1200,De uno a tres sueldos,Performance de la compañía,Dos,12.0,Mayo,3,"Abono de celular, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos",3,"No, pero escucho ofertas.",,Sales / Pre-Sales,4,1,1,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),0,,No sé,10,5,Hype,Terminar encuesta,,,,,,,,,,,,,,,34,Hombre Cis,Sí,True,Semi-Senior,3000000.0
Córdoba,Full-Time,Contractor,2500000.0,,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,2,Clases de idiomas,1,"Sí, estoy buscando activamente.",Tengo dos trabajos full time,Data Engineer,3,2,1,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux","Bash/Shell, Python, SQL",Flask,"Amazon RDS/Aurora, Google Cloud Storage, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MySQL, PostgreSQL, SQLite",Selenium,De 11  a 50  personas,Híbrido (presencial y remoto),1,No,Sí,2,5,Llegó para quedarse,Terminar encuesta,,,,,,,,,,,,,,,41,Hombre Cis,Sí,True,Semi-Senior,2500000.0
Santa Fe,Full-Time,Staff (planta permanente),1171850.0,972635.0,Cobro parte del salario en dólares,,Menos de un sueldo,Aguinaldo,Dos,3.0,Abril,3,Horarios flexibles,3,"No, estoy muy conforme.",,Developer,3,1,1,0,"Docker, Linux","Bash/Shell, CSS, HTML, Javascript, Python, TypeScript, ","Vue.js, Frappe",MariaDB,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,0,,No,6,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,30,Hombre Cis,Sí,True,Semi-Senior,1171850.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,4800000.0,,Cobro todo el salario en dólares,1200,No,No recibo bono,No,0.0,No tuve,4,"Capacitaciones y/o cursos, Horarios flexibles, Lactario en la oficina, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",3,"Sí, estoy buscando activamente.",,UX Designer,8,0,5,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 1001 a 2000 personas,100% remoto,0,No,No,0,3,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,32,Mujer Cis,Sí,True,Senior,4800000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3241000.0,2600000.0,Cobro parte del salario en dólares,1100,No,No recibo bono,Dos,16.0,Abril,4,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",,Manager / Director,29,2,2,2,Windows Server,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 5001 a 10000 personas,Híbrido (presencial y remoto),2,"Cada 3 meses si la inflación no supera el 10%, en ese caso, trimestralmente de lo que esté la inflación acumulada.",No,10,2,Vibequé?,Responder sobre mis estudios,Secundario,Completo,Tecnicatura Electrónica,,Responder sobre guardias,Hasta 2,"HR, Manager directo/a","Sincrónicos, prefiero el desafío en tiempo real, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Menos de 2 horas,Valoro procesos con entrevistas técnicas complejas.,Terminar encuesta,No,0.0,Porcentaje de mi sueldo bruto,48,Hombre Cis,Sí,True,Senior,3241000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Contractor,9000000.0,9000000.0,Cobro todo el salario en dólares,,No,No recibo bono,No,0.0,No tuve,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá), Horarios flexibles",3,"No, pero escucho ofertas.",,Architect,25,1,3,25,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Bootstrap, Node.js, React.js",Ninguna de las anteriores,"Jest, Mocha",De 101 a 200 personas,100% remoto,0,No.,Sí,6,2,Hype,Terminar encuesta,,,,,,,,,,,,,,,45,Hombre Cis,Sí,True,Senior,9000000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Tercerizado (trabajo a través de consultora o agencia),6325000.0,5900000.0,Cobro todo el salario en dólares,1150,No,No recibo bono,No,0.0,No tuve,3,"Horarios flexibles, Reembolso sobre la obra social",4,"No, estoy muy conforme.",,Developer,3,0,0,2,"Amazon Web Services, Docker, Kubernetes","Javascript, Ruby",Rails,"ElasticSearch, MySQL, Redis","RSpec, Selenium",De 1001 a 2000 personas,100% remoto,0,,No,8,5,Llegó para quedarse,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,UCA - Universidad Católica Argentina,Terminar encuesta,Entre 2 y 4,"Técnica - Coding, Técnica - Diseño & Arquitectura, Manager directo/a","Asincrónicos, y sin plataformas. Ejercicios de análisis. Prefiero hacerlos en mis tiempos libres, Analizar un caso offline y discutirlo en vivo con el/la entrevistador/a",Hasta 2 horas,"Si me interesa la empresa, invierto todo el tiempo que haga falta.",Responder sobre guardias,No,0.0,Porcentaje de mi sueldo bruto,26,Hombre Cis,Sí,True,Semi-Senior,6325000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3950000.0,3500000.0,Mi sueldo está dolarizado (pero cobro en moneda local),-,No,No recibo bono,Uno,14.0,Abril,2,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Cuota para universidad / posgrados, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",,Developer,7,3,6,0,"Amazon Web Services, Azure, Docker, Google Cloud Platform, Linux","CSS, HTML, Javascript, TypeScript","Angular, React.js",Microsoft SQL Server,Selenium,De 5001 a 10000 personas,Híbrido (presencial y remoto),2,"El que no iba a un día de los dos la oficina, el ajuste de incremento salarial baja 5% (de ese momento por esa vez).",No sé,0,5,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,40,Hombre Cis,Sí,True,Senior,3950000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),10000000.0,8000000.0,Mi sueldo está dolarizado (pero cobro en moneda local),1800,No,No recibo bono,Dos,11.0,Abril,4,"Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia por nacimiento extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, estoy muy conforme.",,SysAdmin / DevOps / SRE,15,5,3,0,"Amazon Web Services, Azure, Docker, Kubernetes, Linux","Bash/Shell, Go, Javascript, TypeScript","Next.js, Node.js","ElasticSearch, MongoDB",Ninguna de las anteriores,De 201 a 500 personas,Híbrido (presencial y remoto),1,,No,8,1,Hype,Terminar encuesta,,,,,,,,,,,,,,,40,Hombre Cis,Sí,True,Senior,10000000.0
Santa Fe,Full-Time,Staff (planta permanente),4800000.0,3800000.0,Cobro parte del salario en dólares,1200,Un sueldo,Performance de la compañía,Dos,35.0,Junio,3,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia por nacimiento extendida",3,"No, pero escucho ofertas.",,Manager / Director,2,10,2,40,"Arduino o similar, Docker, Kubernetes, Linux, OpenStack, Windows Server","Bash/Shell, HTML, PHP, Python, SQL","Next.js, Node.js, WordPress","ElasticSearch, MariaDB, MongoDB, MySQL, Percona XtraDB Cluster, PostgreSQL, ProxySQL, Redis",Ninguna de las anteriores,De 101 a 200 personas,Híbrido (presencial y remoto),2,Ajustes segun inflacion oficial cada vez que INDEC publica la tasa mensual,No,7,2,Hype,Terminar encuesta,,,,,,,,,,,,,,,38,Hombre Cis,Sí,True,Junior,4800000.0
Ciudad Autónoma de Buenos Aires,Full-Time,Staff (planta permanente),3200000.0,2550000.0,Cobro parte del salario en dólares,,Menos de un sueldo,Mix de las anteriores,Uno,13.0,Febrero,3,"Descuento en gimnasios / Clases de gimnasia online, Crédito en billeteras virtuales (Mercado Pago, Naranja X, Ualá)",3,"No, pero escucho ofertas.",,Developer,19,7,19,0,SAP,ABAP,"SAP, SAP Hana",HANA,Ninguna de las anteriores,De 201 a 500 personas,100% remoto,0,,No,8,3,Vibequé?,Terminar encuesta,,,,,,,,,,,,,,,53,Hombre Cis,No,True,Senior,3200000.0
